week,retailer,sales_kkg,price_kg,organic
1,express,2.881,1,No
1,express,0.997,1.7,Yes
1,grocery,11.903,1.2,No
1,grocery,7.134,1.7,Yes
2,express,3.002,1,No
2,express,1.585,1.7,Yes
2,grocery,13.447,1.2,No
2,grocery,11.151,1.5,Yes
3,express,2.949,1,No
3,express,1.276,1.7,Yes
3,grocery,13.247,1.3,No
3,grocery,8.558,1.6,Yes
4,express,3.074,1,No
4,express,1.639,1.7,Yes
4,grocery,12.681,1.3,No
4,grocery,10.951,1.7,Yes
5,express,3.008,1,No
5,express,2.011,1.7,Yes
5,grocery,12.335,1.2,No
5,grocery,12.186,1.4,Yes
6,express,3.135,1,No
6,express,1.776,1.7,Yes
6,grocery,12.791,1.2,No
6,grocery,16.472,1.2,Yes
7,express,2.926,1,No
7,express,1.464,1.7,Yes
7,grocery,12.997,1.3,No
7,grocery,15.442,1.2,Yes
8,express,2.672,1.3,No
8,express,1.481,1.7,Yes
8,grocery,13.897,1.2,No
8,grocery,12.708,1.2,Yes
9,express,2.98,1.3,No
9,express,1.946,1.7,Yes
9,grocery,12.617,1.2,No
9,grocery,14.776,1.3,Yes
10,express,3.07,1,No
10,express,1.887,1.7,Yes
10,grocery,12.497,1.2,No
10,grocery,11.967,1.6,Yes
11,express,2.833,1.5,No
11,express,1.637,2,Yes
11,grocery,13.247,1.2,No
11,grocery,13.045,1.7,Yes
12,express,2.534,1.5,No
12,express,1.729,2.1,Yes
12,grocery,14.306,1.2,No
12,grocery,11.831,1.7,Yes
13,express,3.179,1.5,No
13,express,2.147,2.1,Yes
13,grocery,12.276,1.4,No
13,grocery,10.763,1.7,Yes
14,express,2.952,1.5,No
14,express,2.049,2.1,Yes
14,grocery,13.564,1.5,No
14,grocery,12.342,1.7,Yes
15,express,3.219,1.5,No
15,express,2.035,2.1,Yes
15,grocery,12.503,1.5,No
15,grocery,16.538,1.5,Yes
16,express,3.044,1.5,No
16,express,3.071,1.9,Yes
16,grocery,12.764,1.5,No
16,grocery,19.591,1.4,Yes
17,express,3.25,1.5,No
17,express,2.175,2.1,Yes
17,grocery,13.984,1.5,No
17,grocery,12.273,1.7,Yes
18,express,3.325,1.5,No
18,express,2.513,2.1,Yes
18,grocery,13.434,1.5,No
18,grocery,13.13,1.7,Yes
