customer,choice,gender,amount_spent,frequency,last purchase,tenure,p_fiction,p_nonfiction
1,1,1,113,8,1,8,0,0
2,1,1,418,6,11,66,0,8
3,1,1,336,18,6,32,6,4
4,1,1,180,16,5,42,12,2
5,1,1,320,2,3,18,0,6
6,1,1,268,4,1,4,3,0
7,1,1,198,2,12,62,0,5
8,1,1,280,6,2,12,0,3
9,1,1,393,12,11,50,4,5
10,1,1,138,10,7,38,6,1
11,1,1,142,14,2,20,7,4
12,1,1,251,10,2,18,1,5
13,1,1,130,14,2,18,3,3
14,1,1,308,6,1,6,0,1
15,1,1,251,10,2,18,8,1
16,1,1,249,16,1,16,15,0
17,1,1,311,14,9,50,3,3
18,1,1,180,8,2,12,0,4
19,1,1,227,30,2,34,19,4
20,1,1,44,2,1,2,0,1
21,1,1,207,4,7,22,0,2
22,1,1,239,14,2,22,9,1
23,1,1,154,10,7,46,4,2
24,1,1,218,4,2,6,0,3
25,1,1,273,10,2,12,2,3
26,1,1,250,10,1,10,9,0
27,1,1,235,10,9,40,2,3
28,1,1,100,22,2,26,9,5
29,1,1,140,2,1,2,0,0
30,1,1,331,10,7,48,6,3
31,1,1,309,4,2,8,0,4
32,1,1,280,10,1,10,9,0
33,1,1,90,4,1,4,0,3
34,1,1,331,4,7,28,0,7
35,1,1,312,8,2,10,2,1
36,1,1,164,10,9,46,0,6
37,1,1,172,14,5,38,7,4
38,1,1,285,16,4,28,7,6
39,1,1,386,6,11,36,0,6
40,1,1,428,2,9,22,0,3
41,1,1,396,12,12,68,0,5
42,1,1,377,8,11,36,0,4
43,1,1,103,8,1,8,0,3
44,1,1,204,14,2,22,9,1
45,1,1,161,10,1,10,3,1
46,1,1,165,2,11,48,0,8
47,1,1,66,10,1,10,0,1
48,1,1,318,14,9,66,11,1
49,1,1,159,10,9,46,0,6
50,1,1,80,2,2,6,0,4
51,1,1,163,10,2,18,7,1
52,1,1,213,10,3,22,0,5
53,1,1,400,10,10,34,0,5
54,1,1,183,8,12,66,0,10
55,1,1,151,8,1,8,1,4
56,1,1,240,16,2,18,2,4
57,1,1,97,6,1,6,0,4
58,1,1,267,6,3,12,0,3
59,1,1,136,6,5,28,0,6
60,1,1,129,4,3,18,0,5
61,1,1,89,4,2,6,2,1
62,1,1,283,8,12,62,0,8
63,1,1,266,10,9,50,0,7
64,1,1,240,2,2,8,0,1
65,1,1,144,12,1,12,10,0
66,1,1,74,2,2,6,0,5
67,1,1,163,6,2,8,2,1
68,1,1,70,2,1,2,0,0
69,1,1,251,4,2,8,0,1
70,1,1,288,30,1,30,23,1
71,1,1,304,2,3,10,0,4
72,1,1,249,14,4,30,6,2
73,1,1,310,2,1,2,0,0
74,1,1,176,8,11,64,2,5
75,1,1,276,10,2,14,3,2
76,1,1,272,16,1,16,13,1
77,1,1,385,2,9,34,0,3
78,1,1,261,14,7,40,7,4
79,1,1,194,16,4,32,7,7
80,1,1,195,4,4,16,0,5
81,1,1,250,6,1,6,1,1
82,1,1,474,12,12,46,0,6
83,1,1,219,10,7,34,3,2
84,1,1,122,8,7,26,0,7
85,1,1,170,4,1,4,0,1
86,1,1,306,8,1,8,0,4
87,1,1,276,14,2,16,9,4
88,1,1,183,20,1,20,8,4
89,1,1,18,14,1,14,7,3
90,1,1,130,12,1,12,5,1
91,1,1,169,4,11,50,0,12
92,1,1,181,6,1,6,0,1
