store_name,state,store_id,category,weekid,month,sales,price,feature,display
HYDE PARK,OH,24991,FROZEN PIZZA,1,1,1466,7.89,0.17,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,2,1,1499,7.89,0.17,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,3,1,953,8.01,0.17,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,4,2,1212,8.00,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,5,2,1480,7.65,0.17,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,6,2,1296,7.59,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,7,2,939,8.55,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,8,3,472,8.57,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,9,3,1359,7.14,0.17,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,10,3,1282,7.17,0.17,0.26
HYDE PARK,OH,24991,FROZEN PIZZA,11,3,1299,7.20,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,12,4,906,7.89,0.17,0.26
HYDE PARK,OH,24991,FROZEN PIZZA,13,4,978,7.94,0.17,0.26
HYDE PARK,OH,24991,FROZEN PIZZA,14,4,855,8.00,0.17,0.26
HYDE PARK,OH,24991,FROZEN PIZZA,15,4,656,7.94,0.00,0.40
HYDE PARK,OH,24991,FROZEN PIZZA,16,4,529,8.03,0.00,0.40
HYDE PARK,OH,24991,FROZEN PIZZA,17,5,622,8.00,0.17,0.26
HYDE PARK,OH,24991,FROZEN PIZZA,18,5,610,8.00,0.17,0.40
HYDE PARK,OH,24991,FROZEN PIZZA,19,5,775,8.28,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,20,5,626,7.83,0.17,0.26
HYDE PARK,OH,24991,FROZEN PIZZA,21,6,698,7.77,0.17,0.13
HYDE PARK,OH,24991,FROZEN PIZZA,22,6,763,8.22,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,23,6,591,8.34,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,24,6,662,8.34,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,25,7,625,7.83,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,26,7,648,7.11,0.17,0.40
HYDE PARK,OH,24991,FROZEN PIZZA,27,7,949,7.17,0.17,0.13
HYDE PARK,OH,24991,FROZEN PIZZA,28,7,557,8.49,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,29,7,628,8.72,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,30,8,556,8.91,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,31,8,578,8.91,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,32,8,491,8.85,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,33,8,363,7.98,0.34,0.67
HYDE PARK,OH,24991,FROZEN PIZZA,34,9,255,7.98,0.00,0.80
HYDE PARK,OH,24991,FROZEN PIZZA,35,9,602,9.24,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,36,9,712,9.24,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,37,9,1033,7.59,0.17,0.40
HYDE PARK,OH,24991,FROZEN PIZZA,38,9,862,7.64,0.17,0.40
HYDE PARK,OH,24991,FROZEN PIZZA,39,10,671,7.76,0.00,0.40
HYDE PARK,OH,24991,FROZEN PIZZA,40,10,879,7.14,0.17,0.67
HYDE PARK,OH,24991,FROZEN PIZZA,41,10,921,8.33,0.17,0.40
HYDE PARK,OH,24991,FROZEN PIZZA,42,10,749,8.97,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,43,11,701,8.73,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,44,11,778,9.03,0.00,0.00
HYDE PARK,OH,24991,FROZEN PIZZA,45,11,1190,7.80,0.17,0.40
HYDE PARK,OH,24991,FROZEN PIZZA,46,11,834,7.82,0.00,0.40
HYDE PARK,OH,24991,FROZEN PIZZA,47,12,563,7.67,0.00,0.40
HYDE PARK,OH,24991,FROZEN PIZZA,48,12,907,8.99,0.00,0.00
