week,retailer,sales_kkg,price_kg,type,display
1,express,1.19,2.2,mini,1
1,express,1.62,2,organic,1
1,express,4.52,1.8,regular,1
1,grocery,11.74,1.7,organic,1
1,grocery,19.45,1.2,regular,1
2,express,2.16,2.21,mini,0
2,express,2.69,1.7,organic,0
2,express,4.77,1,regular,1
2,grocery,17.28,1.5,organic,0
2,grocery,20.18,1.2,regular,1
3,express,1.25,2.21,mini,0
3,express,1.93,1.7,organic,0
3,express,4.94,1,regular,0
3,grocery,13.66,1.6,organic,0
3,grocery,22.25,1.3,regular,1
4,express,2.33,2.21,mini,0
4,express,2.74,1.7,organic,0
4,express,4.74,1,regular,0
4,grocery,17.03,1.7,organic,1
4,grocery,19.1,1.3,regular,1
5,express,1.82,2.21,mini,1
5,express,3.41,1.7,organic,1
5,express,4.58,1,regular,0
5,grocery,20.12,1.4,organic,0
5,grocery,19.65,1.2,regular,0
6,express,1.67,2.21,mini,1
6,express,3.01,1.7,organic,1
6,express,5.33,1,regular,1
6,grocery,25.93,1.2,organic,1
6,grocery,21.46,1.2,regular,0
7,express,1.37,2.21,mini,1
7,express,2.21,1.7,organic,1
7,express,4.79,1,regular,0
7,grocery,24.03,1.2,organic,1
7,grocery,21.03,1.3,regular,1
8,express,1.65,2.21,mini,1
8,express,2.34,1.7,organic,1
8,express,4.23,1.3,regular,0
8,grocery,20.91,1.2,organic,0
8,grocery,22.14,1.2,regular,1
9,express,2.53,2.21,mini,0
9,express,3.27,1.7,organic,0
9,express,5.05,1.3,regular,0
9,grocery,23.55,1.3,organic,0
9,grocery,20.88,1.2,regular,0
10,express,2.03,2.21,mini,0
10,express,3.08,1.7,organic,0
10,express,4.93,1,regular,1
10,grocery,20.32,1.6,organic,0
10,grocery,20.22,1.2,regular,1
11,express,1.35,2.6,mini,0
11,express,2.53,2,organic,0
11,express,4.78,1.5,regular,1
11,grocery,21.47,1.7,organic,1
11,grocery,20.88,1.2,regular,0
12,express,2.3,2.73,mini,1
12,express,2.7,2.1,organic,1
12,express,4.03,1.5,regular,1
12,grocery,19.9,1.7,organic,0
12,grocery,22.09,1.2,regular,0
13,express,2.23,2.73,mini,0
13,express,3.28,2.1,organic,0
13,express,5.31,1.5,regular,0
13,grocery,16.88,1.7,organic,0
13,grocery,19.2,1.4,regular,1
14,express,2.29,2.73,mini,0
14,express,3.3,2.1,organic,0
14,express,4.69,1.5,regular,0
