store_name,state,store_id,category,week_end_date,sales,price,base_price,feature,display,tpr_only
HYDE PARK,OH,24991,FROZEN PIZZA,14-Jan-09,1361.53,5.26,5.57,0.33,0,0.33
HYDE PARK,OH,24991,FROZEN PIZZA,21-Jan-09,1394.64,5.26,5.57,0.33,0,0.33
HYDE PARK,OH,24991,FROZEN PIZZA,28-Jan-09,850.39,5.34,5.56,0.33,0,0
HYDE PARK,OH,24991,FROZEN PIZZA,04-Feb-09,1137.91,5.33,5.57,0,0,0.33
HYDE PARK,OH,24991,FROZEN PIZZA,11-Feb-09,1380.6,5.1,5.58,0.33,0,0
HYDE PARK,OH,24991,FROZEN PIZZA,18-Feb-09,1225.4,5.06,5.55,0,0,0.33
HYDE PARK,OH,24991,FROZEN PIZZA,25-Feb-09,867.39,5.7,5.7,0,0,0
HYDE PARK,OH,24991,FROZEN PIZZA,04-Mar-09,401.72,5.71,5.71,0,0,0
HYDE PARK,OH,24991,FROZEN PIZZA,11-Mar-09,1267.16,4.76,5.6,0.33,0,0.11
HYDE PARK,OH,24991,FROZEN PIZZA,18-Mar-09,1363.13,4.78,5.57,0.33,0.22,0
HYDE PARK,OH,24991,FROZEN PIZZA,25-Mar-09,1236.99,4.8,5.6,0,0,0.33
HYDE PARK,OH,24991,FROZEN PIZZA,01-Apr-09,987.8,5.26,5.44,0.33,0.22,0
HYDE PARK,OH,24991,FROZEN PIZZA,08-Apr-09,1060.89,5.29,5.47,0.33,0.22,0
HYDE PARK,OH,24991,FROZEN PIZZA,15-Apr-09,939.8,5.33,5.55,0.33,0.22,0
HYDE PARK,OH,24991,FROZEN PIZZA,22-Apr-09,862.49,5.29,5.55,0,0.33,0
HYDE PARK,OH,24991,FROZEN PIZZA,29-Apr-09,736.38,5.35,5.57,0,0.33,0
HYDE PARK,OH,24991,FROZEN PIZZA,06-May-09,710.93,5.33,5.55,0.33,0.22,0
HYDE PARK,OH,24991,FROZEN PIZZA,13-May-09,793.45,5.33,5.56,0.33,0.33,0
HYDE PARK,OH,24991,FROZEN PIZZA,20-May-09,721.17,5.52,5.52,0,0,0
HYDE PARK,OH,24991,FROZEN PIZZA,27-May-09,719.64,5.22,5.56,0.33,0.22,0
HYDE PARK,OH,24991,FROZEN PIZZA,03-Jun-09,707.84,5.18,5.54,0.33,0.11,0
HYDE PARK,OH,24991,FROZEN PIZZA,10-Jun-09,713.86,5.48,5.48,0,0,0
HYDE PARK,OH,24991,FROZEN PIZZA,17-Jun-09,542.95,5.56,5.56,0,0,0
HYDE PARK,OH,24991,FROZEN PIZZA,24-Jun-09,615.32,5.56,5.56,0,0,0
HYDE PARK,OH,24991,FROZEN PIZZA,01-Jul-09,580.33,5.22,5.57,0,0,0.44
HYDE PARK,OH,24991,FROZEN PIZZA,08-Jul-09,844.66,4.74,5.56,0.33,0.33,0.44
HYDE PARK,OH,24991,FROZEN PIZZA,15-Jul-09,969.02,4.78,5.57,0.33,0.11,0.44
HYDE PARK,OH,24991,FROZEN PIZZA,22-Jul-09,515.74,5.66,5.95,0,0,0.33
HYDE PARK,OH,24991,FROZEN PIZZA,29-Jul-09,587.45,5.81,5.96,0,0,0.22
HYDE PARK,OH,24991,FROZEN PIZZA,05-Aug-09,516.38,5.94,5.94,0,0,0
HYDE PARK,OH,24991,FROZEN PIZZA,12-Aug-09,539.65,5.94,5.94,0,0,0
HYDE PARK,OH,24991,FROZEN PIZZA,19-Aug-09,454.03,5.9,5.9,0,0,0
HYDE PARK,OH,24991,FROZEN PIZZA,26-Aug-09,720.35,5.32,5.9,0.67,0.56,0
HYDE PARK,OH,24991,FROZEN PIZZA,02-Sep-09,752.24,5.32,5.9,0,0.67,0
HYDE PARK,OH,24991,FROZEN PIZZA,09-Sep-09,568.63,6.16,6.16,0,0,0
HYDE PARK,OH,24991,FROZEN PIZZA,16-Sep-09,680.75,6.16,6.22,0,0,0.11
