"ID","price","bedrooms","bathrooms","lot_size","year_built","postal_code","borough"
1,314000,3,2,348,1988,"H1E4T3","Rivière-des-Prairies–Pointe-aux-Trembles"
2,629988,3,1,344,1951,"H4B2N7","Côte-des-Neiges–Notre-Dame-de-Grâce"
3,329000,3,2,485,1980,"H1A2Z7","Rivière-des-Prairies–Pointe-aux-Trembles"
4,429000,3,2,274,1985,"H1E5E5","Rivière-des-Prairies–Pointe-aux-Trembles"
5,429000,2,2,264,1943,"H1L4J3","Mercier–Hochelaga-Maisonneuve"
6,539000,3,2,345,1968,"H4J2B8","Ahuntsic-Cartierville"
7,449000,2,1,387,1946,"H2N1R6","Ahuntsic-Cartierville"
8,289000,3,2,381,1960,"H1E1Z5","Rivière-des-Prairies–Pointe-aux-Trembles"
9,579000,3,1,309,1986,"H1R3V6","Saint-Léonard"
10,389000,5,2,528,1989,"H9K1A3","Pierrefonds-Roxboro"
11,339000,3,1,372,1979,"H1E2E8","Rivière-des-Prairies–Pointe-aux-Trembles"
12,370000,4,2,520,1986,"H1C2A8","Rivière-des-Prairies–Pointe-aux-Trembles"
13,429900,4,1,455,1985,"H1A4Z7","Rivière-des-Prairies–Pointe-aux-Trembles"
14,319000,4,2,372,1956,"H1H3Y5","Montréal-Nord"
15,625000,4,1,590,1947,"H8T2E7","Lachine"
16,419000,3,1,779,1958,"H8Y1N7","Pierrefonds-Roxboro"
17,749000,3,2,383,1950,"H3M2W2","Ahuntsic-Cartierville"
18,775000,5,3,897,1994,"H9E1S1","L'Île-Bizard–Sainte-Geneviève"
19,1489000,5,4,534,1950,"H3W1Y7","Côte-des-Neiges–Notre-Dame-de-Grâce"
20,359000,3,1,504,1984,"H9C2P9","L'Île-Bizard–Sainte-Geneviève"
21,695000,3,1,238,1885,"H3K1C8","Le Sud-Ouest"
22,469000,2,1,180,1992,"H1K5C8","Mercier–Hochelaga-Maisonneuve"
23,339000,3,1,172,1991,"H1E7C7","Rivière-des-Prairies–Pointe-aux-Trembles"
24,429900,3,1,211,1959,"H2C2W8","Ahuntsic-Cartierville"
25,695000,4,2,421,1915,"H1K2J3","Mercier–Hochelaga-Maisonneuve"
26,625000,3,1,348,1953,"H2C3E2","Ahuntsic-Cartierville"
27,1475000,6,4,1189,2000,"H9C2X2","L'Île-Bizard–Sainte-Geneviève"
28,225000,3,2,465,1945,"H1A2C2","Rivière-des-Prairies–Pointe-aux-Trembles"
29,524900,4,2,697,1974,"H9H1H7","Pierrefonds-Roxboro"
30,509500,3,1,347,1986,"H1K4Y7","Anjou"
31,409000,4,2,557,1988,"H9K1E8","Pierrefonds-Roxboro"
32,389900,3,1,393,1948,"H4L3Z4","Saint-Laurent"
33,368000,3,2,239,1992,"H9J1W4","Pierrefonds-Roxboro"
34,329000,3,1,300,1876,"H2C2T2","Ahuntsic-Cartierville"
35,218000,3,1,142,1970,"H1B3B4","Rivière-des-Prairies–Pointe-aux-Trembles"
36,1295000,5,3,829,1987,"H4K2W3","Ahuntsic-Cartierville"
37,388000,4,1,177,1974,"H4K1T5","Saint-Laurent"
38,649000,5,2,480,1987,"H9J3N5","Pierrefonds-Roxboro"
39,529000,3,2,437,1953,"H4L4R7","Saint-Laurent"
40,499000,2,1,856,1700,"H9H3A3","L'Île-Bizard–Sainte-Geneviève"
41,349000,4,1,172,1992,"H1E7E9","Rivière-des-Prairies–Pointe-aux-Trembles"
42,274900,2,1,202,1920,"H1L2C6","Mercier–Hochelaga-Maisonneuve"
43,279000,3,1,211,1917,"H2A2Y6","Villeray–Saint-Michel–Parc-Extension"
44,299900,3,2,257,1910,"H8R1E1","Lachine"
45,239900,2,1,157,1997,"H1A5P5","Rivière-des-Prairies–Pointe-aux-Trembles"
46,479000,4,1,502,1966,"H1B1X5","Rivière-des-Prairies–Pointe-aux-Trembles"
47,319000,2,1,195,1922,"H1N2L9","Mercier–Hochelaga-Maisonneuve"
48,399000,3,2,147,1973,"H1M1Y2","Anjou"
49,460000,6,2,523,1982,"H1E4A5","Rivière-des-Prairies–Pointe-aux-Trembles"
50,1125000,3,2,200,1900,"H2V2J9","Le Plateau-Mont-Royal"
51,1499900,3,1,1559,1910,"H3X2S5","Côte-des-Neiges–Notre-Dame-de-Grâce"
52,629000,4,2,381,2000,"H8Y3R3","Pierrefonds-Roxboro"
53,1195000,4,2,1504,2001,"H8Z1G3","Pierrefonds-Roxboro"
54,598382.7885,4,2,1951,1958,"H8Z2T7","Pierrefonds-Roxboro"
55,475000,4,2,452,1984,"H1E4L8","Rivière-des-Prairies–Pointe-aux-Trembles"
56,889000,3,3,680,2003,"H1E3N8","Rivière-des-Prairies–Pointe-aux-Trembles"
57,624900,2,1,145,1875,"H2W2B4","Le Plateau-Mont-Royal"
58,219500,3,1,738,1983,"H1C1S5","Rivière-des-Prairies–Pointe-aux-Trembles"
59,519000,3,1,337,1998,"H1J2Y4","Anjou"
60,1289000,5,3,964,1971,"H1G5X1","Montréal-Nord"
61,369000,4,2,192,1984,"H8S2W1","Lachine"
62,449000,4,2,553,1950,"H9C1H7","L'Île-Bizard–Sainte-Geneviève"
63,489000,3,2,585,1980,"H1E2E3","Rivière-des-Prairies–Pointe-aux-Trembles"
64,765000,4,3,503,1955,"H4V2H7","Côte-des-Neiges–Notre-Dame-de-Grâce"
65,1329000,5,3,317,1931,"H3W2H9","Côte-des-Neiges–Notre-Dame-de-Grâce"
66,739000,3,1,255,1983,"H2M2L7","Ahuntsic-Cartierville"
67,589000,3,2,1589,1953,"H1A2B6","Rivière-des-Prairies–Pointe-aux-Trembles"
68,579000,5,2,593,1991,"H9K1J8","Pierrefonds-Roxboro"
69,399000,3,2,302,1942,"H4L2Y9","Saint-Laurent"
70,819000,4,3,663,1980,"H3L3H5","Ahuntsic-Cartierville"
71,799000,3,1,257,1985,"H2M2L7","Ahuntsic-Cartierville"
72,838888,4,3,204,1980,"H3E1L2","Verdun"
73,339000,3,1,289,1983,"H1E6B8","Rivière-des-Prairies–Pointe-aux-Trembles"
74,459325.125,3,1,446,1959,"H9H1B9","L'Île-Bizard–Sainte-Geneviève"
75,499999,3,2,650,1963,"H8Z1N1","Pierrefonds-Roxboro"
76,469000,3,1,465,1954,"H8T2T9","Lachine"
77,649900,4,2,363,1985,"H1A5S7","Rivière-des-Prairies–Pointe-aux-Trembles"
78,949000,2,2,53,1915,"H2L3Z8","Le Plateau-Mont-Royal"
79,699000,3,2,4270,1831,"H9K1B7","Pierrefonds-Roxboro"
80,550000,3,1,473,1949,"H3X3S1","Côte-des-Neiges–Notre-Dame-de-Grâce"
81,459000,2,2,201,1947,"H2E1R6","Villeray–Saint-Michel–Parc-Extension"
82,499000,4,1,591,1968,"H9H1W3","Pierrefonds-Roxboro"
