customer,competitive prices,wide range of product choices,offers brands i want,speed of checkout or purchase,easy to return items,pleasant shopping experience,convenient locations,easy to use website,good customer service,friendliness of employees,helpful employees,honesty and trustworthiness,environmentally conscious,socially responsible,freshness of produce,quality of private label products,availability of local produce,availability of organic items,availability of healthier options
1,4,4,4,5,5,4,4,4,5,5,3,5,5,4,4,4,4,4,3
2,5,5,5,5,4,4,4,4,5,4,3,3,4,5,4,4,5,4,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,2,4,3,2,4,3,3,4,3,2,3,2,3,2,5,3,4,4,3
5,4,4,3,3,3,5,5,4,4,4,4,4,4,4,5,4,3,5,4
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,3,5,2,3,3,4,5,4,4,5,5,5,4,4,4,4,4,4,5
9,2,3,5,1,2,3,2,3,3,4,5,3,3,2,2,3,3,2,3
10,4,3,5,5,4,2,3,2,5,3,4,2,4,3,3,5,5,4,3
11,5,4,5,4,5,5,3,3,3,4,5,5,2,4,4,4,4,5,3
12,4,3,5,5,5,5,4,5,5,5,5,5,5,4,5,3,5,5,4
13,2,2,3,3,2,1,2,3,2,2,3,2,3,2,2,2,3,3,2
14,3,4,2,3,4,3,4,3,4,4,3,4,3,3,3,3,4,4,5
15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5
16,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4
17,4,5,5,4,5,4,5,4,4,4,4,3,4,4,5,5,5,4,5
18,2,5,2,5,5,5,5,5,3,5,1,3,5,2,1,4,3,4,2
19,2,3,4,1,3,4,3,3,4,2,4,4,2,2,1,3,1,3,2
20,4,4,4,4,4,4,5,3,4,4,3,4,4,4,4,4,4,4,4
21,5,3,3,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5
22,1,4,4,3,4,3,3,4,3,4,4,3,3,2,4,4,4,4,4
23,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3
26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
27,3,5,5,3,3,4,5,3,3,4,4,4,3,3,4,3,4,5,5
28,4,5,4,4,5,4,5,5,4,5,5,4,4,4,5,5,4,4,5
29,4,5,4,4,4,4,5,5,4,4,4,4,4,5,5,4,5,5,5
30,4,5,4,5,4,4,5,5,5,5,4,4,4,5,4,4,4,4,4
31,3,4,2,5,2,3,4,5,1,4,5,4,5,3,3,5,3,4,4
32,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
33,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,5,4,5
34,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3
35,4,5,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,3
36,4,3,3,1,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3
37,5,3,5,4,4,4,2,5,4,3,3,3,3,3,3,3,3,3,3
38,5,4,4,5,4,5,4,4,4,5,4,5,4,5,5,4,5,4,5
39,3,4,3,4,3,3,4,4,4,4,4,3,4,3,4,4,3,3,3
40,5,5,4,3,4,5,4,4,2,3,2,4,1,2,4,3,3,2,3
41,3,2,2,3,3,3,3,2,3,3,2,2,2,3,3,2,4,3,3
