CustomerID,City,Zip Code,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Reason
9995-HOTOH,Sierra City,96125,39.600599,-120.636358,Male,No,Yes,No,63,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,59,3707.6,No,0,
9993-LHIEB,Solana Beach,92075,33.001813,-117.263628,Male,No,Yes,No,67,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,67.85,4627.65,No,0,
9992-UJOEL,Elk,95432,39.108252,-123.645121,Male,No,No,No,2,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,50.3,92.75,No,0,
9992-RRAMN,Riverbank,95367,37.734971,-120.954271,Male,No,Yes,No,22,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.1,1873.7,Yes,1,Product dissatisfaction
9987-LUTYD,La Mesa,91941,32.759327,-116.99726,Female,No,No,No,13,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,55.15,742.9,No,0,
9985-MWVIX,Hume,93628,36.807595,-118.901544,Female,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.15,70.15,Yes,1,Attitude of support person
9979-RGMZT,Los Angeles,90022,34.02381,-118.156582,Female,No,No,No,7,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,94.05,633.45,No,0,
9978-HYCIN,Bakersfield,93301,35.383937,-119.020428,Male,Yes,Yes,Yes,47,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),84.95,4018.05,No,0,
9974-JFBHQ,Del Rey,93616,36.657462,-119.595293,Male,No,No,Yes,64,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.15,6171.2,No,0,
9972-VAFJJ,San Diego,92116,32.765299,-117.122565,Female,Yes,Yes,No,53,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,94,4871.45,No,0,
9972-NKTFD,Forest Ranch,95942,40.077028,-121.494168,Female,No,No,No,28,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),54.65,1517.5,No,0,
9971-ZWPBF,Orinda,94563,37.873916,-122.20522,Male,Yes,Yes,Yes,34,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,108.9,3625.2,No,0,
9968-FFVVH,Potter Valley,95469,39.408634,-123.045516,Male,No,No,No,63,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),68.8,4111.35,No,0,
9965-YOKZB,Grizzly Flats,95636,38.636102,-120.522149,Male,Yes,No,No,9,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.85,790.15,Yes,1,Network reliability
9961-JBNMK,Desert Center,92239,33.889605,-115.257009,Male,Yes,No,No,21,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.8,2030.3,Yes,1,Product dissatisfaction
9959-WOFKT,Los Angeles,90019,34.049841,-118.33846,Male,No,No,No,71,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,
9958-MEKUC,Pacifica,94044,37.573633,-122.455167,Male,No,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),103.95,7517.7,No,0,
9957-YODKZ,Canby,96015,41.486953,-120.913975,Male,Yes,Yes,No,6,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.8,457.1,No,0,
9955-QOPOY,Sunnyvale,94089,37.421633,-122.009613,Male,No,Yes,No,69,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),60.8,4263.4,No,0,
9948-YPTDG,San Rafael,94903,38.018065,-122.546024,Male,No,Yes,No,38,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.45,3013.05,Yes,1,Competitor offered more data
9947-OTFQU,Covina,91722,34.097345,-117.906736,Male,Yes,No,No,15,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,Service dissatisfaction
9944-HKVVB,King City,93930,36.220761,-120.980777,Female,No,No,No,3,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,307.4,Yes,1,Competitor offered higher download speeds
